,UB,UR,UL,FR,FD,FL,RU,RB,RD,RF,BU,BL,BD,BR,LU,LF,LD,LB,DF,DR,DB,DL
UB,,"[R2 U':[S, R2]]","[U' M2 U: [M, U2]]","[R' U': [S, R2]]","R' F' : R U R' , E","[L U: [S', L2]]",S U' : S R2 S' R2,"[U: [L' E L, U2]]","[U':[R E R', U2]]","[U:[L E' L' , U2]]",,r' F' : r2 E r2 E,U' M' : U' M' U2 M U',"R U' : S , R2","[U' M U': [M' , U2]]","[U': [R' E R , U2]]","[U:[L' E' L, U2]]","[U': [R E' R', U2]]","U2 , M'","[U':[S, R2]]","M , U2","[U:[S', L2]]"
UR,"[R2 U':[R2 , S]]",,"[M2 U: [M, U2]]","[M U M' U', R]","[M' , R U' R' U]","[U', R E2 R']",,"[U: [L' E L, U]]","U' , R E R'","[U:[L E' L' , U]]","M , R U' R' U","E : U' , R' E R",U M U M' x2,"M : U M' U' , R'","[r' F' r, S]","[U', R' E R]","[U:[L' F' L , S']]","[U', R E' R']","M U2 M , U",R' U : l' E' l2 E' l',"[M2, R U' R' U]","l F L' : S' , L2"
UL,"[U' M2 U': [M, U2]]","[M2 U': [M, U2]]",,"[U, L' E2 L]",U : M' U' M U' x2,"U' : R E2 R' , U'","[l F l', S']","U , l' E l","U' : R E R' , U'","[U, L E' L']","M , L' U L U'","M : U' M' U , L",U' M U' M' x2,R U R U R' U' R' U' R' U,,"[U':[R' E R , U']]","[S', L' F' L]","[U':[R E' R', U']]","R' F' : R S R' , F2",U R U R' U' R' U' R' U R,"[M2, L' U L U']",L U' : r E r2 E r
FR,"[R' U': [R2 , S]]","[R , M U M' U']","[L' E2 L , U]",,"M' , U' R U","[R' U' R:[E, R2]]",l F l' S' l F l' S l F2 l',"R U' R' , E'","[R' f R':[S', R2]]",,"[M , U' R U]","[R' U' R':[E', R2]]","[U':[U' M U, R]]","[U R':[S, R2]]","[S' U L:[E', L2]]","R U' R' , E","R' : S, L' F' L","[R:[U' , R E' R']]",R' : (f2 R2 U' R2)x2,U R' U' R' U R U R U R' U2,"[M2 , U' R U]","[U L:[E', L2]]"
FD,"R' F' : E , R U R'",[R U' R' U  M'],"[L' U L U' , M']","[U' R U , M']",,"R' F : R U' R' , E","r : U R' U' , M'","M' : U R' U' , M'","U' : S' , R' F' R","M' : U R U' , M'","[U' : [S , R' F' R]]","U L U' , M'",[U : M' U' M U2 M U M' U2],"U' R' U , M'","[l':[U' L U , M']]","M' : U' L' U , M'","U : R' D' R, S'","[U' r : [E' , R' U' R]]",,[U R' F' : R' S R2' S' R'],"D : R F R' , S'",[U' L F : L S' L2 S L]
FL,"U : R E2 R' , U2","[R E2 R' , U']","U2 : R E2 R' , U","[R' U' R':[E, R2]]","[M' ,U L' U']",,"[S U' R:[R2,E]]","[L':[U , L' E L]]","R E : E , R' U' R","E , r U r'","[M , U L' U']",U' : r E r2 E r,"[U:[U M U', L']]","[R U' R':[E, R2]]","r' F2 : F , r S r'",,"[S' U' R':[E, R2]]","[L' U L , E]",U' L' : U' M' U2 M U',"[U' R':[E, R2]]",D'U' : R' E R2 E' R',DU' L' : U' M' U2 M U'
RU,"[U M U': [M', U2]]",,"[R' F R , S]","[U RM U:[U2 , M']]","r : M' , U R' U'","[S U' R':[R2,E]]",,"[S':[U, L' E L]]","[F' R':[R2 , E]]","[S' : [U , L E' L']] ","[R U R' U' , M']","[S U' R':[E', R2]]","U l' : U' L U , M2","[R u' R:[E', R2]]","[M U':[M' , U2]]","[L'M U':[M', U2]]","[U:[S , L F' L']]","[l U':[M', U2]]","[D : [R' F R , S']]","[R' F R, S']","r : M2 , U R' U'","[R':[F , R' S' R]]"
RB,"[U': [L' E L, U2]]","[U2: [L' E L, U']]","l' E l , U","[E' , R U' R']","M2 : U R' U' , M","[L':[L' E L , U]]","[S':[L' E L , U]]",,"[R , U' S U]","[l'/M' U' R:[S, R2]]","[U R' U' , M']","E , L U L'","[U L':[l U' l' , E]]",,"[r' U':[M', U2]]","[r U R:[E, R2]]","[L F':[L2 , E]]",u : R' S R2 S' R',F : R2 E R2' E',"[u' R:[E', R2]]","[M:[U R' U' , M2]]","[u L:[E', L2]]"
RD,"[U:[R E R', U2]]","R' E' R , U'","U2 : R E R' , U","[R' f R:[S', R2]]","U' : R' F' R , S'","R E : R' U' R , E","S U':[R2 , S']]","[U' S U , R]",,"[U' S U, R']","[R:[U R U', M']]","R' E2 : E , R U' R'","[U':[R B R' , S']]",U'D' R' U M' U' R U M D,"[R' F R':[S, R2]]","[M' U R:[E, R2]]","[L F' L:[S, L2]]","[R' F:[E' , R2]]",M' U' : S R2' S' R2,,"[U':[R' B R, S]]","R F R' , S'"
RF,"U' : L E' L' , U2","[U:[U , L E' L']]","[L E' L' , U]",,"[M':[M' , U R U']]","r U r' , E","[S':[L E' L' , U]]",l'/M' : U' l' E' l2 E' l' U,"[R' , U' S U]",,"[U R U' , M']","[r:[U , r E' r']]",[r:(U' M' U' M)*2],"[F , R S' R']","[RM U':[M', U2]]",U'E' r : E r2 E r2,"[M' U' L:[E', L2]]","[l' U' L:[E', L2]]","R2' F : R2 , E","[U'E' R:[R2,E]]","[M:[U R U' , M2]]","[F , R' S' R]"
BU,,"R U' R' U , M","U' : r' F' r , S","U' R U , M","[U' : [R' F' R , S]]","[U L' U' , M]","[M' , R U R' U']","M' , U R' U'","[M' , U R2 U']","[M' , U R U']",,"[U L U', M]","[D' R:[M' , U R U']]","[U' R' U, M]","[M' , L' U' L U]","[M' , U' L' U]","U'D : R' F' R , S","M' , U' L U","[U : [S , R' F' R]]","[r' : [M' , U' R' U]]",,"[l : [M' , U L U']]"
BL,r' F r2 E r2 E F' r ,"E : R' E R , U'","u' : U' , R' E R","[R' U' R:[E', R2]]","[M' , U L U']]",U' : r' E' r2 E' r',"[S U' R':[R2,E']]","L U L' , E","R' E2 : R U' R' , E","[L:[U , L E' L']]","[M , U L U']",,"[U:[U M U', L]]","[R U' R:[E', R2]]","[U' l U':[M', U2]]","[L' S L , F']","[S' U' R':[E', R2]]",,U' L : U' M' U2 M U',"[U' R:[E', R2]]","[U' L U:[M, U2]]",
BD,U' M' : U M' U2 M U,"D' : [R F R' , S]",M U M' U x2,"[U r U':[M', U2]]",U M U M' U2 M' U' M U,"[U' l' U:[M', U2]]",[M2:(U M U M')*2],"[U L':[E , l U' l']]","D' U' : R' F' R , S'",[r:(U' M' U' M)*2],"[D' R:[U R U' , M']]","[U:[U M U', L]]",,mirror,[M2:(U' M U' M')*2],,D' M D' M' x2,[LM':(M' U' M U')*2],"[D’: [R F R’, S’]]",U R r,,r U'
BR,"R U' : R2 , S","E : R E' R' , U' ","u' : U' , R E' R'",U : l E l2 E l,"M' , U' R' U","[R U' R:[E, R2]]",R u' : R' E' R2 E R',,"[S U L:[E, L2]]","[R' U' R , E]","[M , U' R' U]","[R U' R':[E', R2]]",mirror,,"[S' U L:[L2,E]]","[R':[U' , R' E R]]","D : M' , U' R' U","R' U' R , E'",U R' : U M' U2 M U,r',"[U R' U':[M, U2]]","[U L:[L2 , E]]"
LU,"[U' M U': [U2 , M']]","[L F' L' , S']",,"[S' U L':[E', L2]]","l' : M' , U' L U","r' F2 : r S r' , F","[M U:[M' , U2]]","[F R:[S, R2]]","[R' F R:[S, R2]]","[RM U:[M', U2]]","[L' U' L U , M']","[U' l U:[M', U2]]",[M2:(M U M' U)*2],"[S' U L':[L2,E]]",,"[S : [U' , R' E R]]",l D : L' S L2 S' L',"[S:[U', R E' R']]",[r' D' : L2 S L2 S'],"[L:[F' , L S L']]","l' : M2 , U' L U","L F' L' , S"
LF,"[U: [R' E R , U2]]","[R' E R , U']","[R' F : [R S R' , F]]","E , R U' R'","[M2 : [U' L' U , M]]",,"[L'M U:[M', U2]]","[r U R':[E, R2]]","[M' U R':[E, R2]]",UE : l' : E' l2 E' l2,"[U' L' U , M']","[F', L' S L]",U' r'?,"[R':[R' E R , U']]","[S:[R' E R, U']]",,"[L , U S' U']","[E' L' U L':[E, L2]]","[U R' F2 : [R S R' , F]]","[R' F2 : [F' , R' S R]]","[M:[U' L' U , M2]]","[R' F2 : [F' , R' S' R]]"
LD,"U' : L' E' L , U2","[U:[S' , L' F' L]]","[L' F' L , S']","l F2 : l' S l , F'","U : S' , R' D' R","[S' U' R:[E, R2]]","[U:[L F' L' , S]]","[F R':[S', R2]]","R' F R' : S' , R2","[M' U' L':[E', L2]]","[L':[U' L' U, M']]",D m and i ishaan trick,"[U:[L' B' L , S]]","R : L' F' L , S",l D : L S L2 S' L,"[U S' U' , L]",,"[U S' U' , L']","U : S' , L' F L","L' F' L , S",,
LB,"[U: [R E' R', U2]]","[R E' R' , U']","[U2:[R E' R', U]]","[R:[R E' R', U']]","[M' : [M' , U' L U]]","R E' : R' U' R , E'","[l U:[M', U2]]","[u' L:[S', L2]]","[R' F:[R2, E']]","[l' U' L':[E', L2]]","[U' L U , M']",,[LM':(U M' U M)*2],"E' , R' U' R","[S:[R E' R' , U']]","[E' L' U L':[E, L2]]","[L' , U S' U']",,F' : r2 E r2' E,"[u' R':[E, R2]]","[M:[U' L U, M2]]","[u L':[E, L2]]"
DF,"[M' , U2]","U' : [M2 , R U R' U']","R' F : R S R' , F2","[U R U':[M', U2]]",,"[U' L' U:[M', U2]]",[l D' : R2 S' R2 S],"F' : R2 , E","[R' F':[R2, E]]","[R2 F':[R2, E]]","[U : [R' F' R , S]]",[U' L U:[M' U2]],"[U' M2 : [R U R' U' , M']]",U R' : U' M' U2 M U',r' : D L2 S L2 S' D',"[U R' F2 : [F , R S R']]","[L F:[L2, E']]","F : L2 , E'",,"R' F : R S' R' , F2",u2 M' u2 M',"R' F : R' S' R , F2"
DR,"[U':[R2,S]]","R U R' : S , R2",R' U' R U R U R U' R' U',U2 R U' R' U' R' U' R U R U',[U R' F' : R S R2' S' R],"[U' R:[E, R2]]","[S' , R' F R]","[u' R':[E', R2]]",,"[U'E' R':[R2,E]]","[r' : [U' R' U , M']]","[U' R':[E', R2]]","[U' S' U:[M, U2]]",[R' U R': U perm],"[L:[L S L' , F']]","[U'E' R':[E', R2]]","[S , L' F' L]","[u' R:[E, R2]]","R' F' : R S' R' , F2",,,"U : L2 , S"
DB,"[U2,M]","[R U' R' U , M2]","[L' U L U' , M2]","[U' R U , M2]","D' : S , L' F' L","[U' L' U':[M, U2]]","r : U R' U' , M2","[M:[M2 , U R' U']]","[U':[R' B R, S]]","[M:[M2 , U R U']]","[D' R':[M , U' R' U]]","[U' L U':[M, U2]]",,"[U R' U:[M, U2]]","l' : U' L U , M2","[M:[M2 , U' L' U]]","[U:[S', L B' L']]","[M:[M2 , U' L U]]",M' U2 M' U2 M2,"[M2, U' R2 U]",,U'D R D R' D' R' D' R' D R U
DL,"[U':[S', L2]]","l F L : S' , L2","L' U' L' : S' , L2","[U L':[E', L2]]",[U' L F : L' S' L2 S L'],U2 L' U L U L U L' U' L' U,"[l':[R' E R , U]]","[u L':[E', L2]]","S' , R F R'","[R' S' R , F]","[l : [U L U' , M']]",[L U' L: lefty U perm],"[U S U':[M, U2]]","[U L:[E, L2]]","[S , L F' L']","[UE L:[L2,E']]",,"[u L:[E, L2]]","R' F' : R' S' R , F2","U' : R2 , S'","[U L2 U', M2]",
