,UB,UR,UL,LU,LF,LD,LB,FR,FD,FL,RU,RB,RD,RF,BU,BL,BD,BR,DF,DR,DB,DL
UB,,,,,,,,,"[U M U: [M, U2]]",,MU,,,,-,,,,,,,
UR,"[R2 U': [S, R2]]",-,,,,,,,,,-,,,,,,,"[E: [R E' R', U']]",,"[R U R': [S, R2]]",,
UL,"[U M2 U': [M', U2]]","[M2 U: [M, U2]]",-,-,,,,,,,,,,,,,,U' R U R U R U' R' U' R',,,,"[L' U' L: [S', L2]]"
LU,[U' M U': [M' U2]],"[S', L F' L']",-,-,,,,,,,,,,,,,,,M u M' u2 M' u M',,,
LF,"[U': [R' E R , U2]]","[U', R' E R]","[U': [R' E R, U']]","[S: [U', R' E R]]",-,,"[z U': [L E' L', U2]]",,,-,,,,U' E' r E r2 E r E U,,,,,,,,
LD,"[U: [L' E' L, U2]]","[U: [L' E' L, U]]","[U, L E L']","[S' D': [M, D2]]","[z: [U, L E' L']]",-,,,,,"[L F' L:[S', L2]]",,,,,,,,,,,-
LB,"[U': [R E' R', U2]]","[U', R E' R']","[U': [R E' R', U']]","[S: [U', R E' R']]",r U r E r2 E r U r',[z: [L E' L' U']],-,,,,,,,,,-,,,,,,
FR,"[R' U': [S, R2]]","[E': [U', R' E R]]","[U, L' E2 L]","[S' U L':[E', L2]]","[E, R U' R']","[L': [E2, L U L']]","[R: [R E' R', U']]",-,,,,,,-,,,,,,U2 R U' R' U' R' U' R U R U' ,,
FD,"[R' F': R U R', E]]","[r: [U' R' U, M]]","[l': [U L U', M]]","[l': [M', U' L U]]","[M2 : [U' L' U , M]]","[U: [S', R' D' R]]","[M': [M', U' L U]]","[M', U' R U]",-,,,,,,,,,,-,,,
FL,"[L U: [S', L2]]","[U', R E2 R']","[U': [R E2 R', U']]",r U r' E r U r' E' r U2 r',-,"[S' U' R:[E, R2]]","[E, L' U L]","[R' U' R: [E, R2]]","[U L' U', M']",-,,,,,,,,,,,,U2 L' U L U L U L' U' L' U
RU,S U' : S R2 S' R2,-,"[S, R' F R]","[M U: [M', U2]]","[L'M U: [M', U2]]","[U:[L F' L' , S]]","[l U: [M', U2]]","[R' U'E' R':[E, R2]]","[r: [U R' U', M']]","[S U' R': [E, R2]]",-,,,,,,,,,,,
RB,"[U: [L' E L, U2]]","[U: [L' E L, U]]","[U, L' E L]",[r' U: [M' U2]],"[r U R': [E, R2]]","[L F': [E, L2]]","[x' U: [M', U2]]","[R U' R', E']","[M': [U R' U', M']]","[L': [U, L' E L]] ","[S': [U, L' E L]]",-,,,,,,-,,,,
RD,"[U': [R E R', U2]]","[U', R E R']","[U': [R E R', U']]","[R' F R: [S, R2]]","[M' U R': [E, R2]]","[R' F R': [S', R2]]","[R' F: [R2, E']]","[S U L: [E', L2]]","[U': [S', R' F' R]]","[R E: [R' U' R , E]]","[F' R: [E, R2]","[z': [U, R' E R]]",-,,,,,,,-,,
RF,"[U: [L E' L', U2]]","[U: [L E' L', U]]","[U, L E' L']","[RM U: [M', U2]]",UE l' E' l2 E' l' E'U',"[M' U' L': [E', L2]]","[l R U: [M', U2]]",-,"[M': [U R U', M']]","[L' U L, E']","[S': [U, L E' L']]",l' U' l' E' l2 E' l' U l,"[z': [U', R' E R]]",-,,,,,,,,
BU,-,"[r': [U' R U, M']]","[l: [U L' U', M']]","[L': [U' L U, M']]","[U' L' U, M']","[U' L2 U, M']","[U' L U, M']","[M, U' R U]","[U': [S, R' F' R]]","[M, U L' U']","[R U R' U', M']","[U R' U', M']","[U R2 U', M']","[U R U', M']",-,,,,,,,
BL,"[L' U: [S', L2]]","[Uw': [R' E' R, U']]","u' : R' E R , U'","[U' l U: [M', U2]]","[E', L U L']","[S' U' R': [E', R2]]",-,"[R' U' R': [E', R2]]","[U L U', M']",U' r E r2 E r U,"[M: [U, R E' R']]","[E, L U L']","[R' E': [R U' R', E']]","[L: [L E' L', U]]","[U L U', M]",-,,,,,,
BD,"[U M' U: [M', U2]]",(U M U M')*2,(U' M U' M')*2,[M': (U M' U M)*2],"[U' M: [U, R' E R]]","[U: [S', R' D R]]","[U' M: [R E' R', U]]","[U2: [M, U R U']]","[U M': [U', M U2 M]]","[U2: [M, U' L' U]]",[M': (U' M' U' M)*2],"[U M:[U', L' E L]]","[U' x': [R U R', E']]","[U M: [U', L E' L']]","[U' x': [R U R', E]]","[U: [U M U', L]]",-,,,,-,
BR,"[R U': [S, R2]]","[M: [U M' U', R']]","[U, L E2 L']]","[l': [E, L U' L']]","[R': [R' E R, U']]","[D: [U' R' U, M']]","[E', R' U' R]",U l' E' l2 E' l' U',"[U' R' U, M']","[R U' R:[E, R2]]","[U r' U': [M', U2]]",-,"[D': [U' R' U, M']]","[E, R' U' R]","[U' R' U, M]","[R U' R: [E', R2]]","[U': [R', U' M U]]",-,,,,
DF,"[U2, M']","[M U2 M, U]","[M U2 M, U']",r' D' r2 S' r2 S' D r,"[U R' F2 : [R S R' , F]] ","[L F: [E', L2]]","[y' R': [E, R2]]","[U R U: [M', U2]]",-,"[U' L' U': [M', U2]]","[D : [R' F R , S']]","[F': [R2, E]]","[R' F': [E, R2]]","[R2 F': [E, R2]]","[U: [S, R' F' R]]",[U' L U': [M' U2]],"[D': [R F R', S']] ","[U R' U: [M', U2]]",-,,,
DR,"[U': [S, R2]]","[R' U R': [S, R2]]",U R U R' U' R' U' R' U R,"[x: L2: [L' U' L, E']]","[U'E' R: [E', R2]]","[L' F' L, S]","[u' R': [E', R2]]","[UD2 L: [E', L2]]","[U' R2 U, M']","[U' R': [E, R2]]","[R' F R, S']","[u' R: [E', R2]]",-,"[U'E' R: [E, R2]]","[U' R2 U, M]","[U' R: [E', R2]]","[U' [R2, U' M U]]",U R U R U' R' U' R' U' R,"[R' F: [R S' R', F2]]",-,,
DB,"[M, U2]","[r'M: [U' R U, M2]]",U2 M' U2 M' U' M U2 M U',"[D: [S, L F' L']]","[M: [U' L' U, M2]]","[U: [S, L B' L']]","[M: [U' L U, M2]]","[UD L: [E', L2]]","[D: [R F R', S']]","[D'U' R': [E, R2]]","[D': [R' F R, S']]","[M: [U R' U', M2]]","[U': [R' B R, S]]","[M: [U R U', M2]]","[U x': [E, R U R']]","[U'D' R: [E', R2]]",-,"[DU L': [E, L2]]","[D2, M]","[U R2 U': [M, U2]]",-,
DL,"[U: [S', L2]]",U' L' U' L U L U L U' L',"[L U' L: [S', L2]]","[L F' L', S]","[UE L: [E', L2]]",-,"[u L': [E, L2]]","[U L: [E', L2]]","[U L2 U', M']","[U'D2 R': [E, R2]]","[x R2: [R U R', E]]","[u L: [E', L2]]","[R F R', S']","[UE L': [E, L2]]","[U L2 U', M]",U' L' U' L' U L U L U L',"[U [L2, U M U']]","[U L': [E, L2]]","l' U: [R' E R, U2]]","[D: [M, D2]]","[U' L2 U: [U2, M]]",-
